Attaching to sophia-in-a-box-master_broker_1
[36mbroker_1                |[0m 
[36mbroker_1                |[0m [2020-11-06 05:28:10,739] INFO Topic creation Map(_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 -> ArrayBuffer(1)) (kafka.zk.AdminZkClient)
[36mbroker_1                |[0m [2020-11-06 05:28:10,743] DEBUG Got notification sessionid:0x10000bf27630001 (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,743] DEBUG Got WatchedEvent state:SyncConnected type:NodeChildrenChanged path:/brokers/topics for sessionid 0x10000bf27630001 (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,745] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog finished:false header:: 259,1  replyHeader:: 259,159,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,#7b2276657273696f6e223a312c22706172746974696f6e73223a7b2230223a5b315d7d7d,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,750] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics serverPath:/brokers/topics finished:false header:: 260,12  replyHeader:: 260,159,0  request:: '/brokers/topics,T  response:: v{'sophia.catalog.metadata,'test-1,'_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,'__consumer_offsets,'_schemas},s{8,8,1604640480991,1604640480991,0,5,0,0,0,5,159}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,753] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog finished:false header:: 261,4  replyHeader:: 261,159,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,T  response:: #7b2276657273696f6e223a312c22706172746974696f6e73223a7b2230223a5b315d7d7d,s{159,159,1604640490741,1604640490741,0,0,0,0,36,0,159}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,754] INFO [Controller id=1] New topics: [Set(_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog)], deleted topics: [Set()], new partition replica assignment [Map(_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 -> Vector(1))] (kafka.controller.KafkaController)
[36mbroker_1                |[0m [2020-11-06 05:28:10,754] INFO [Controller id=1] New partition creation callback for _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (kafka.controller.KafkaController)
[36mbroker_1                |[0m [2020-11-06 05:28:10,762] TRACE [Controller id=1 epoch=1] Changed partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,762] TRACE [Controller id=1 epoch=1] Changed state of replica 1 for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 from NonExistentReplica to NewReplica (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,766] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions finished:false header:: 262,1  replyHeader:: 262,160,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions,,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,769] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0 serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0 finished:false header:: 263,1  replyHeader:: 263,161,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0,,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,772] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0/state serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0/state finished:false header:: 264,1  replyHeader:: 264,162,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0/state,#7b22636f6e74726f6c6c65725f65706f6368223a312c226c6561646572223a312c2276657273696f6e223a312c226c65616465725f65706f6368223a302c22697372223a5b315d7d,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog/partitions/0/state  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,772] TRACE [Controller id=1 epoch=1] Changed partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 from NewPartition to OnlinePartition with state LeaderAndIsr(leader=1, leaderEpoch=0, isr=List(1), zkVersion=0) (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,773] TRACE [Controller id=1 epoch=1] Sending become-leader LeaderAndIsr request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=1, zkVersion=0, replicas=1, isNew=true) to broker 1 for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,773] TRACE [Controller id=1 epoch=1] Sending UpdateMetadata request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=[1], zkVersion=0, replicas=[1], offlineReplicas=[]) to brokers Set(1) for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,774] TRACE [Controller id=1 epoch=1] Changed state of replica 1 for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 from NewReplica to OnlineReplica (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,776] TRACE [Broker id=1] Received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=1, zkVersion=0, replicas=1, isNew=true) correlation id 9 from controller 1 epoch 1 for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,778] TRACE [Broker id=1] Handling LeaderAndIsr request correlationId 9 from controller 1 epoch 1 starting the become-leader transition for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,778] INFO [ReplicaFetcherManager on broker 1] Removed fetcher for partitions _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (kafka.server.ReplicaFetcherManager)
[36mbroker_1                |[0m [2020-11-06 05:28:10,781] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/config/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog serverPath:/config/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog finished:false header:: 265,4  replyHeader:: 265,162,0  request:: '/config/topics/_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,F  response:: #7b2276657273696f6e223a312c22636f6e666967223a7b226d6573736167652e74696d657374616d702e74797065223a2243726561746554696d65222c227365676d656e742e6279746573223a22313334323137373238222c2264656c6574652e726574656e74696f6e2e6d73223a223630353636343030303030222c22726574656e74696f6e2e6d73223a223630353636343030303030222c226d696e2e696e73796e632e7265706c69636173223a2231222c22636c65616e75702e706f6c696379223a22636f6d706163742c64656c657465222c22726574656e74696f6e2e6279746573223a222d31222c226d6573736167652e74696d657374616d702e646966666572656e63652e6d61782e6d73223a2239323233333732303336383534373735383037227d7d,s{158,158,1604640490738,1604640490738,0,0,0,0,298,0,158}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,785] INFO [Log partition=_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 with message format version 2 (kafka.log.Log)
[36mbroker_1                |[0m [2020-11-06 05:28:10,786] INFO [Log partition=_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0, dir=/var/lib/kafka/data] Completed load of log with 1 segments, log start offset 0 and log end offset 0 in 2 ms (kafka.log.Log)
[36mbroker_1                |[0m [2020-11-06 05:28:10,786] INFO Created log for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 in /var/lib/kafka/data with properties {compression.type -> producer, message.format.version -> 2.0-IV1, file.delete.delay.ms -> 60000, max.message.bytes -> 1000012, min.compaction.lag.ms -> 0, message.timestamp.type -> CreateTime, message.downconversion.enable -> true, min.insync.replicas -> 1, segment.jitter.ms -> 0, preallocate -> false, min.cleanable.dirty.ratio -> 0.5, index.interval.bytes -> 4096, unclean.leader.election.enable -> false, retention.bytes -> -1, delete.retention.ms -> 60566400000, cleanup.policy -> compact,delete, flush.ms -> 9223372036854775807, segment.ms -> 604800000, segment.bytes -> 134217728, retention.ms -> 60566400000, message.timestamp.difference.max.ms -> 9223372036854775807, segment.index.bytes -> 10485760, flush.messages -> 9223372036854775807}. (kafka.log.LogManager)
[36mbroker_1                |[0m [2020-11-06 05:28:10,794] INFO [Partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 broker=1] No checkpointed highwatermark is found for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (kafka.cluster.Partition)
[36mbroker_1                |[0m [2020-11-06 05:28:10,794] INFO Replica loaded for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 with initial high watermark 0 (kafka.cluster.Replica)
[36mbroker_1                |[0m [2020-11-06 05:28:10,794] INFO [Partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 broker=1] _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 starts at Leader Epoch 0 from offset 0. Previous Leader Epoch was: -1 (kafka.cluster.Partition)
[36mbroker_1                |[0m [2020-11-06 05:28:10,794] TRACE [Broker id=1] Stopped fetchers as part of become-leader request from controller 1 epoch 1 with correlation id 9 for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (last update controller epoch 1) (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,794] TRACE [Broker id=1] Completed LeaderAndIsr request correlationId 9 from controller 1 epoch 1 for the become-leader transition for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,794] INFO [ReplicaAlterLogDirsManager on broker 1] Added fetcher for partitions List() (kafka.server.ReplicaAlterLogDirsManager)
[36mbroker_1                |[0m [2020-11-06 05:28:10,797] TRACE [Controller id=1 epoch=1] Received response {error_code=0,partitions=[{topic=_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,partition=0,error_code=0}]} for request LEADER_AND_ISR with correlation id 9 sent to broker broker:9092 (id: 1 rack: null) (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,799] TRACE [Broker id=1] Cached leader info PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=[1], zkVersion=0, replicas=[1], offlineReplicas=[]) for partition _confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog-0 in response to UpdateMetadata request sent by controller 1 epoch 1 with correlation id 10 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,814] TRACE [Controller id=1 epoch=1] Received response {error_code=0} for request UPDATE_METADATA with correlation id 10 sent to broker broker:9092 (id: 1 rack: null) (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,830] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog finished:false header:: 266,3  replyHeader:: 266,162,-101  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog,F  response::   (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,833] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics serverPath:/brokers/topics finished:false header:: 267,12  replyHeader:: 267,162,0  request:: '/brokers/topics,T  response:: v{'sophia.catalog.metadata,'test-1,'_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,'__consumer_offsets,'_schemas},s{8,8,1604640480991,1604640480991,0,5,0,0,0,5,159}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,837] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog serverPath:/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog finished:false header:: 268,5  replyHeader:: 268,163,-101  request:: '/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog,#7b2276657273696f6e223a312c22636f6e666967223a7b226d6573736167652e74696d657374616d702e74797065223a2243726561746554696d65222c227365676d656e742e6279746573223a223637313038383634222c2264656c6574652e726574656e74696f6e2e6d73223a22363931323030303030222c22726574656e74696f6e2e6d73223a22363931323030303030222c226d696e2e696e73796e632e7265706c69636173223a2231222c22636c65616e75702e706f6c696379223a22636f6d70616374222c22726574656e74696f6e2e6279746573223a222d31222c226d6573736167652e74696d657374616d702e646966666572656e63652e6d61782e6d73223a2239323233333732303336383534373735383037227d7d,-1  response::   (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,840] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog serverPath:/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog finished:false header:: 269,1  replyHeader:: 269,164,0  request:: '/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog,#7b2276657273696f6e223a312c22636f6e666967223a7b226d6573736167652e74696d657374616d702e74797065223a2243726561746554696d65222c227365676d656e742e6279746573223a223637313038383634222c2264656c6574652e726574656e74696f6e2e6d73223a22363931323030303030222c22726574656e74696f6e2e6d73223a22363931323030303030222c226d696e2e696e73796e632e7265706c69636173223a2231222c22636c65616e75702e706f6c696379223a22636f6d70616374222c22726574656e74696f6e2e6279746573223a222d31222c226d6573736167652e74696d657374616d702e646966666572656e63652e6d61782e6d73223a2239323233333732303336383534373735383037227d7d,v{s{31,s{'world,'anyone}}},0  response:: '/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,841] INFO Topic creation Map(_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 -> ArrayBuffer(1)) (kafka.zk.AdminZkClient)
[36mbroker_1                |[0m [2020-11-06 05:28:10,843] DEBUG Got notification sessionid:0x10000bf27630001 (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,843] DEBUG Got WatchedEvent state:SyncConnected type:NodeChildrenChanged path:/brokers/topics for sessionid 0x10000bf27630001 (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,844] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog finished:false header:: 270,1  replyHeader:: 270,165,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog,#7b2276657273696f6e223a312c22706172746974696f6e73223a7b2230223a5b315d7d7d,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,848] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics serverPath:/brokers/topics finished:false header:: 271,12  replyHeader:: 271,165,0  request:: '/brokers/topics,T  response:: v{'sophia.catalog.metadata,'test-1,'_confluent-controlcenter-5-1-0-1-MonitoringMessageAggregatorWindows-THREE_HOURS-changelog,'__consumer_offsets,'_schemas,'_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog},s{8,8,1604640480991,1604640480991,0,6,0,0,0,6,165}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,850] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog finished:false header:: 272,4  replyHeader:: 272,165,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog,T  response:: #7b2276657273696f6e223a312c22706172746974696f6e73223a7b2230223a5b315d7d7d,s{165,165,1604640490841,1604640490841,0,0,0,0,36,0,165}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,851] INFO [Controller id=1] New topics: [Set(_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog)], deleted topics: [Set()], new partition replica assignment [Map(_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 -> Vector(1))] (kafka.controller.KafkaController)
[36mbroker_1                |[0m [2020-11-06 05:28:10,851] INFO [Controller id=1] New partition creation callback for _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (kafka.controller.KafkaController)
[36mbroker_1                |[0m [2020-11-06 05:28:10,851] TRACE [Controller id=1 epoch=1] Changed partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 state from NonExistentPartition to NewPartition with assigned replicas 1 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,851] TRACE [Controller id=1 epoch=1] Changed state of replica 1 for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 from NonExistentReplica to NewReplica (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,858] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions finished:false header:: 273,1  replyHeader:: 273,166,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions,,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,864] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0 serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0 finished:false header:: 274,1  replyHeader:: 274,167,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0,,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,871] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0/state serverPath:/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0/state finished:false header:: 275,1  replyHeader:: 275,168,0  request:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0/state,#7b22636f6e74726f6c6c65725f65706f6368223a312c226c6561646572223a312c2276657273696f6e223a312c226c65616465725f65706f6368223a302c22697372223a5b315d7d,v{s{31,s{'world,'anyone}}},0  response:: '/brokers/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog/partitions/0/state  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,874] TRACE [Controller id=1 epoch=1] Changed partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 from NewPartition to OnlinePartition with state LeaderAndIsr(leader=1, leaderEpoch=0, isr=List(1), zkVersion=0) (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,875] TRACE [Controller id=1 epoch=1] Sending become-leader LeaderAndIsr request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=1, zkVersion=0, replicas=1, isNew=true) to broker 1 for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,875] TRACE [Controller id=1 epoch=1] Sending UpdateMetadata request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=[1], zkVersion=0, replicas=[1], offlineReplicas=[]) to brokers Set(1) for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,876] TRACE [Controller id=1 epoch=1] Changed state of replica 1 for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 from NewReplica to OnlineReplica (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,877] TRACE [Broker id=1] Received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=1, leaderEpoch=0, isr=1, zkVersion=0, replicas=1, isNew=true) correlation id 11 from controller 1 epoch 1 for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,877] TRACE [Broker id=1] Handling LeaderAndIsr request correlationId 11 from controller 1 epoch 1 starting the become-leader transition for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (state.change.logger)
[36mbroker_1                |[0m [2020-11-06 05:28:10,878] INFO [ReplicaFetcherManager on broker 1] Removed fetcher for partitions _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (kafka.server.ReplicaFetcherManager)
[36mbroker_1                |[0m [2020-11-06 05:28:10,881] DEBUG Reading reply sessionid:0x10000bf27630001, packet:: clientPath:/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog serverPath:/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog finished:false header:: 276,4  replyHeader:: 276,168,0  request:: '/config/topics/_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog,F  response:: #7b2276657273696f6e223a312c22636f6e666967223a7b226d6573736167652e74696d657374616d702e74797065223a2243726561746554696d65222c227365676d656e742e6279746573223a223637313038383634222c2264656c6574652e726574656e74696f6e2e6d73223a22363931323030303030222c22726574656e74696f6e2e6d73223a22363931323030303030222c226d696e2e696e73796e632e7265706c69636173223a2231222c22636c65616e75702e706f6c696379223a22636f6d70616374222c22726574656e74696f6e2e6279746573223a222d31222c226d6573736167652e74696d657374616d702e646966666572656e63652e6d61782e6d73223a2239323233333732303336383534373735383037227d7d,s{164,164,1604640490838,1604640490838,0,0,0,0,286,0,164}  (org.apache.zookeeper.ClientCnxn)
[36mbroker_1                |[0m [2020-11-06 05:28:10,886] INFO [Log partition=_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 with message format version 2 (kafka.log.Log)
[36mbroker_1                |[0m [2020-11-06 05:28:10,887] INFO [Log partition=_confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0, dir=/var/lib/kafka/data] Completed load of log with 1 segments, log start offset 0 and log end offset 0 in 2 ms (kafka.log.Log)
[36mbroker_1                |[0m [2020-11-06 05:28:10,892] INFO Created log for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 in /var/lib/kafka/data with properties {compression.type -> producer, message.format.version -> 2.0-IV1, file.delete.delay.ms -> 60000, max.message.bytes -> 1000012, min.compaction.lag.ms -> 0, message.timestamp.type -> CreateTime, message.downconversion.enable -> true, min.insync.replicas -> 1, segment.jitter.ms -> 0, preallocate -> false, min.cleanable.dirty.ratio -> 0.5, index.interval.bytes -> 4096, unclean.leader.election.enable -> false, retention.bytes -> -1, delete.retention.ms -> 691200000, cleanup.policy -> compact, flush.ms -> 9223372036854775807, segment.ms -> 604800000, segment.bytes -> 67108864, retention.ms -> 691200000, message.timestamp.difference.max.ms -> 9223372036854775807, segment.index.bytes -> 10485760, flush.messages -> 9223372036854775807}. (kafka.log.LogManager)
[36mbroker_1                |[0m [2020-11-06 05:28:10,896] INFO [Partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 broker=1] No checkpointed highwatermark is found for partition _confluent-controlcenter-5-1-0-1-aggregate-topic-partition-changelog-0 (kafka.cluster.Partition)
